sorting	itemID	organismID	materialSampleID	institutionCode	collectionCode	fullCatalogNumber	catalogNumber	rightsHolder	coremaBasisOfRecord	informationWithheld	recordedBy	sex	lifeStage	preparations	disposition	eventDate	country	stateProvince	county	locality	minimumElevationInMeters	decimalLatitude	decimalLongitude	identificationRemarks	identifiedBy	dateIdentified	typeStatus	scientificName	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	materialSampleType	concentration	concentrationUnit	associatedMedia
112	urn:uuid:9b963a5d-fc88-46de-946f-fb96492f0381	urn:uuid:425a5662-f58e-5f27-9fd5-3f5651731e3c	urn:uuid:9b963a5d-fc88-46de-946f-fb96492f0381	NHMO	BI	NHMO-BI-25215/1-B | NHMO-BI-25215/2-S	25215	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	Male	Adult	Blood	Existing	27.04.2010	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, El Rosario		28.425833	-16.384722		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	27.04.2010		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% | Formalin	Blood | Sperm sample						Tissue			
113	urn:uuid:967b3fd6-bf01-4d9d-a1e1-14a40e7a1d31	urn:uuid:4318def0-de36-5623-aee3-dbfbf7fcd616	urn:uuid:967b3fd6-bf01-4d9d-a1e1-14a40e7a1d31	NHMO	BI	NHMO-BI-62103/1-P	62103	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Mounted	Existing	19.12.1908				Epirus (Phiniki)					Unknown	19.12.1908		Alectoris graeca (Meisner, 1804)	Galliformes	Phasianidae	Alectoris	graeca		species	(Meisner, 1804)	Dry	Mounted		J.I.J				Specimen			
114	urn:uuid:7ae63539-e912-4285-8ec8-7fd9c1f78cbc	urn:uuid:43274fdb-e141-5a3c-aa0b-61f10bf791e6	urn:uuid:7ae63539-e912-4285-8ec8-7fd9c1f78cbc	NHMO	BI	NHMO-BI-62292/1-P	62292	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Slater, Henry H.	Female	Unknown	Study skin	Existing	1877	United Kingdom			Riding Mill					Slater, Henry H.	1877		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209739&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209740&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14209741&type=jpeg
115	urn:uuid:b5e830a8-f133-459e-8323-993f5860c2c2	urn:uuid:43408e32-8e43-5e3c-9566-f060e9b33b77	urn:uuid:b5e830a8-f133-459e-8323-993f5860c2c2	NHMO	BI	NHMO-BI-88215/1-S	88215	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	01.06.2016	Italy	Apulia	Tremiti	San Domino		42.11475	15.490722		Rowe, Melissah	01.06.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	01.06.2016			Tissue			
116	urn:uuid:b7ce1137-f82c-42be-b598-42747b153f3f	urn:uuid:43d5a23a-260e-5655-b4de-84583e82e854	urn:uuid:b7ce1137-f82c-42be-b598-42747b153f3f	NHMO	BI	NHMO-BI-27513/1-B	27513	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	Male	Adult	Blood	Existing	07.03.2011	Portugal	Madeira		Ribeiro Frio		32.721472	-16.886056		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	07.03.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
117	urn:uuid:632f5008-d400-4458-a7e4-003a4ce8beb6	urn:uuid:4401be55-c053-5531-8f33-cb4f63e322f8	urn:uuid:632f5008-d400-4458-a7e4-003a4ce8beb6	NHMO	BI	NHMO-BI-59001/1-P	59001	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Dahl, Knut	Male	Unknown	Study skin	Existing	1894-08-19	Australia	Northern Territory		Daly River		-13.765	130.704		Dahl, Knut	1894-08-19		Porphyrio poliocephalus poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus	poliocephalus	subspecies	(Latham, 1801)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903240&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903241&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903242&type=jpeg
118	urn:uuid:d8658649-520a-4969-a97e-5eef6f867d83	urn:uuid:443a82a5-5ec7-5d11-bba6-225d3222a0c8	urn:uuid:d8658649-520a-4969-a97e-5eef6f867d83	NHMO	BI	NHMO-BI-59337/1-P	59337	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Unknown	Unknown	Study skin	Existing					Unknown					Unknown			Alectoris rufa (Linnaeus, 1758)	Galliformes	Phasianidae	Alectoris	rufa		species	(Linnaeus, 1758)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904213&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904214&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904215&type=jpeg
119	urn:uuid:29d75422-9a5d-4297-a678-9d79cad9ccb5	urn:uuid:44abe489-3907-5ad4-b7b3-84e60afb7957	urn:uuid:29d75422-9a5d-4297-a678-9d79cad9ccb5	NHMO	BI	NHMO-BI-39242/1-B | NHMO-BI-39242/2-D	39242	Natural History Museum, University of Oslo, Norway	MaterialSample		Walinder, Gøran	Unknown		Blood	Existing	01.04.1990	Sweden	Skåne		Falsterbo		55.383333	12.816667		Walinder, Gøran	01.04.1990		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
120	urn:uuid:b4a1efd3-6ade-4843-ab04-f4c05019064a	urn:uuid:44d5be86-f058-5152-a213-d43c8816ab46	urn:uuid:b4a1efd3-6ade-4843-ab04-f4c05019064a	NHMO	BI	NHMO-BI-65159/1-P	65159	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Unknown	Male	Unknown	Preserved specimen	Existing	1867									Unknown	1867		Circus macrourus (Gmelin, SG, 1770)	Accipitriformes	Accipitridae	Circus	macrourus		species	(Gmelin, SG, 1770)	Dry	PreservedSpecimen		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13915174&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13915175&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13915176&type=jpeg
121	urn:uuid:e6f8f296-6a9a-4a80-b6ef-5a53cccd32ab	urn:uuid:44f1a099-a6fe-5bb0-a164-afc0a3757090	urn:uuid:e6f8f296-6a9a-4a80-b6ef-5a53cccd32ab	NHMO	BI	NHMO-BI-88153/1-S	88153	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	22.05.2016	Italy	Apulia		Masseria Montanari		41.910222	15.853611		Rowe, Melissah	22.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	22.05.2016			Tissue			
122	urn:uuid:10555466-d940-4a91-9605-154f97e86207	urn:uuid:457318ee-c711-5b42-a2b5-df4c7c08b163	urn:uuid:10555466-d940-4a91-9605-154f97e86207	NHMO	BI	NHMO-BI-106488/1-B	106488	Natural History Museum, University of Oslo, Norway	MaterialSample		"Cramer, Becky; Chen, Kuei-Chiu"	Unknown	Adult	Blood	Existing	04.12.2019	Qatar		Al Rayyan	TAMU-Q		25.315197	51.437692		"Cramer, Becky; Chen, Kuei-Chiu"	04.12.2019		Acridotheres tristis (Linnaeus, 1766)	Passeriformes	Sturnidae	Acridotheres	tristis		species	(Linnaeus, 1766)	Ethanol, 70-80%	Blood		Cramer, Becky	04.12.2019			Tissue			
123	urn:uuid:ebf14d16-682a-41f1-b99a-e143cc7e0cfc	urn:uuid:45f4328e-30be-528e-a8bb-f3625363afbb	urn:uuid:ebf14d16-682a-41f1-b99a-e143cc7e0cfc	NHMO	BI	NHMO-BI-59055/1-P	59055	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Unknown	Unknown	Study skin	Existing		India								Unknown			Porphyrio poliocephalus poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus	poliocephalus	subspecies	(Latham, 1801)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903399&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903400&type=jpeg
124	urn:uuid:d6ad5454-73a9-4d7e-b427-ce616726c14e	urn:uuid:46513561-cf29-5b6e-a55a-85561cecf44e	urn:uuid:d6ad5454-73a9-4d7e-b427-ce616726c14e	NHMO	BI	NHMO-BI-18220/1-B | NHMO-BI-18220/2-S	18220	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male		Blood	Existing	24.03.2009	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, Lagunetas		28.416667	-16.416667		Lifjeld, Jan T.	24.03.2009		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% | Formalin	Blood | Sperm sample						Tissue			
125	urn:uuid:d453feff-cd55-45ab-b94e-9a683e3a770c	urn:uuid:467c9717-074e-57e8-857f-f2925945ccb9	urn:uuid:d453feff-cd55-45ab-b94e-9a683e3a770c	NHMO	BI	NHMO-BI-71879/1-E	71879	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Wilh. Schlüter, Halle A/S			Blown eggshell	Existing	01.06.1905	Russian Federation								Wilh. Schlüter, Halle A/S	01.06.1905		Tetrax tetrax (Linnaeus, 1758)	Otidiformes	Otididae	Tetrax	tetrax		species	(Linnaeus, 1758)		Blown eggshell						Specimen			
126	urn:uuid:6512fca5-e0cf-4659-9eaa-2fad243672a3	urn:uuid:467eb68c-4e39-5c9b-a242-61f8c6b83db0	urn:uuid:6512fca5-e0cf-4659-9eaa-2fad243672a3	NHMO	BI	NHMO-BI-57719/1-P	57719	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Olstad, Ola	Unknown	Pullus	Preserved specimen	Existing	26.01.1928	Antarctica			Port Lockroy, South Shetland Islands					Holgersen, Holger	26.01.1928		Leucocarbo bransfieldensis (Murphy, 1936)	Suliformes	Phalacrocoracidae	Leucocarbo	bransfieldensis		species	(Murphy, 1936)	Dry	PreservedSpecimen		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13900837&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13900838&type=jpeg
127	urn:uuid:5ae1a975-f1f5-4695-80f9-4ab19010c6c5	urn:uuid:46cafd8a-6508-51d8-8dd9-5f1163cc3d05	urn:uuid:5ae1a975-f1f5-4695-80f9-4ab19010c6c5	NHMO	BI	NHMO-BI-59478/1-P	59478	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Preserved specimen	Existing		India								Unknown			Pterocles exustus Temminck, 1825	Pterocliformes	Pteroclidae	Pterocles	exustus		species	Temminck, 1825	Dry	PreservedSpecimen		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904635&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904636&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904637&type=jpeg
128	urn:uuid:2d437a69-6ea8-41ef-a830-3284025bcf1a	urn:uuid:46fd2bd8-d4f2-57b9-bea1-a9246a8f7d1e	urn:uuid:2d437a69-6ea8-41ef-a830-3284025bcf1a	NHMO	BI	NHMO-BI-62100/1-P	62100	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Petersen	Male	Unknown	Preserved specimen	Existing	1886-10	Japan			Nagasaki					Petersen	1886-10		Zoothera aurea (Holandre, 1825)	Passeriformes	Turdidae	Zoothera	aurea		species	(Holandre, 1825)	Dry	PreservedSpecimen						Specimen			
129	urn:uuid:0b0454dd-7234-419b-8dcd-567737763f9e	urn:uuid:4734e190-ccf5-54bc-96e5-26bad86a7cf3	urn:uuid:0b0454dd-7234-419b-8dcd-567737763f9e	NHMO	BI	NHMO-BI-86672/1-P	86672	Natural History Museum, University of Oslo, Norway	PreservedSpecimen			Female		Study skin	Existing		Europe (continent)			C. Europa					B.M. 85	19.09.2016		Carduelis citrinella (Pallas, 1764)	Passeriformes	Fringillidae	Carduelis	citrinella		species	(Pallas, 1764)	Dry	Study skin						Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14214078&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14214079&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14214080&type=jpeg
130	urn:uuid:207689a4-4ed9-42e1-8fcc-91ad540aaab8	urn:uuid:4812c163-90e8-5602-b840-59415b50f3c6	urn:uuid:207689a4-4ed9-42e1-8fcc-91ad540aaab8	NHMO	BI	NHMO-BI-88164/1-S	88164	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	23.05.2016	Italy	Apulia		Lago Salso		41.541556	15.890056		Rowe, Melissah	23.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	23.05.2016			Tissue			
131	urn:uuid:0d7d6e19-b116-4d2e-98e6-e0bc1a0864d2	urn:uuid:48b11840-6356-5883-b895-e5a1bb5bd990	urn:uuid:0d7d6e19-b116-4d2e-98e6-e0bc1a0864d2	NHMO	BI	NHMO-BI-39861/1-B | NHMO-BI-39861/2-D	39861	Natural History Museum, University of Oslo, Norway	MaterialSample			Unknown	Unknown	Blood	Existing	15.05.2003	Norway	Telemark	Kragerø	Jomfruland fuglestasjon		58.881389	9.610556			15.05.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's | 	Blood | gDNA						Tissue | DNA			
132	urn:uuid:65f505fd-6a7a-49a7-b751-ffb47c220203	urn:uuid:4995ee99-6790-59fb-b608-ce3ce5fe5d08	urn:uuid:65f505fd-6a7a-49a7-b751-ffb47c220203	NHMO	BI	NHMO-BI-62806/1-P	62806	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Unknown	Demounted	Existing		Egypt								Unknown			Ceryle rudis (Linnaeus, 1758)	Coraciiformes	Alcedinidae	Ceryle	rudis		species	(Linnaeus, 1758)	Dry	Demounted		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13912060&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13912061&type=jpeg
133	urn:uuid:7b27b4dd-fb23-4f54-8d8f-9d0b734ef72e	urn:uuid:4b7ee659-7009-5c8b-a4d3-ed59f7b21409	urn:uuid:7b27b4dd-fb23-4f54-8d8f-9d0b734ef72e	NHMO	BI	NHMO-BI-40106/1-B	40106	Natural History Museum, University of Oslo, Norway	MaterialSample		Røer, Jan Erik	Female		Blood	Existing	20.09.2003	Norway	Vest-Agder	Kvinesdal	ØYESTRANDA		58.283333	06.sep		Røer, Jan Erik	20.09.2003		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
134	urn:uuid:5c8a332c-5a23-436d-93e7-2a6c13009e3c	urn:uuid:4b535e99-d86d-5e6a-8f29-f2a3f345f0dc	urn:uuid:5c8a332c-5a23-436d-93e7-2a6c13009e3c	NHMO	BI	NHMO-BI-45009/1-S	45009	Natural History Museum, University of Oslo, Norway	MaterialSample		Rodrigues, Pedro	Male	Adult	Sperm sample	Existing	17.06.2011	Portugal	Autonomous Region of Azores	São Miguel	Tronqueira (SMI_001)		37.769722	-25.197222		Rodrigues, Pedro	17.06.2011		Pyrrhula murina Godman, 1866	Passeriformes	Fringillidae	Pyrrhula	murina		species	Godman, 1866	Formalin, w/PBS	Sperm sample						Tissue			
135	urn:uuid:a3cfdec8-df20-4a92-ac70-9c7a0e9ffb88	urn:uuid:4cb64e52-59f8-5847-9003-98804ab64347	urn:uuid:a3cfdec8-df20-4a92-ac70-9c7a0e9ffb88	NHMO	BI	NHMO-BI-59479/1-P	59479	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Gjertsen	Male	Unknown	Preserved specimen	Existing		India								Gjertsen			Pterocles exustus Temminck, 1825	Pterocliformes	Pteroclidae	Pterocles	exustus		species	Temminck, 1825	Dry	PreservedSpecimen		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904638&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904639&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13904640&type=jpeg
136	urn:uuid:8336c288-ea79-4ba9-8913-53f265c146be	urn:uuid:4c8744e1-e5b5-5a07-85e1-4036bc222ac0	urn:uuid:8336c288-ea79-4ba9-8913-53f265c146be	NHMO	BI	NHMO-BI-27914/1-B	27914	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Male	Adult	Blood	Existing	06.05.2011	Portugal	Madeira		Santana 2		32.797389	-16.891639		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	06.05.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
137	urn:uuid:c710243a-e04c-4bd8-8342-44778a813335	urn:uuid:4cb4401b-9d74-5d13-8eeb-c702cdbe453c	urn:uuid:c710243a-e04c-4bd8-8342-44778a813335	NHMO	BI	NHMO-BI-57721/1-P	57721	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Olstad, Ola	Unknown	Pullus	Preserved specimen	Existing	26.01.1928	Antarctica			Port Lockroy, South Shetland Islands					Holgersen, Holger	26.01.1928		Leucocarbo bransfieldensis (Murphy, 1936)	Suliformes	Phalacrocoracidae	Leucocarbo	bransfieldensis		species	(Murphy, 1936)	Dry	PreservedSpecimen		Anthonisen, Kristin				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13900841&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13900842&type=jpeg
138	urn:uuid:6545a92d-121b-4260-9729-9a504e0588ac	urn:uuid:4ccace8e-e5ca-589f-aea5-64ca74120ab0	urn:uuid:6545a92d-121b-4260-9729-9a504e0588ac	NHMO	BI	NHMO-BI-54030/1-P	54030	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Håkonsen, K.	Male	Adult	Whole animal	Existing	05.05.1952	Norway								"Støp-Bowitz, Carl; Vik, R."	05.05.1952		Circus macrourus (Gmelin, SG, 1770)	Accipitriformes	Accipitridae	Circus	macrourus		species	(Gmelin, SG, 1770)	Ethanol, 70-80%	Whole animal						Specimen			
139	urn:uuid:b93685f3-14af-43bb-b2cf-a33d0dc0a82d	urn:uuid:5008ef29-08e6-50eb-bf06-d2a7fbcc0364	urn:uuid:b93685f3-14af-43bb-b2cf-a33d0dc0a82d	NHMO	BI	NHMO-BI-96040/1-S	96040	Natural History Museum, University of Oslo, Norway	MaterialSample		Rodrigues, Pedro	Male	Adult	Sperm sample	Existing	16.06.2011	Portugal	Autonomous Region of Azores	São Miguel	Tronqueira (SMI_002)		37.769722	-25.197222		Rodrigues, Pedro	14.06.2011		Pyrrhula murina Godman, 1866	Passeriformes	Fringillidae	Pyrrhula	murina		species	Godman, 1866		Sperm sample						Tissue			
140	urn:uuid:e131aac1-61d1-4d00-956a-dbd09609f17d	urn:uuid:5092a30f-25b5-59e0-b339-75701aff9c1d	urn:uuid:e131aac1-61d1-4d00-956a-dbd09609f17d	NHMO	BI	NHMO-BI-39220/1-B | NHMO-BI-39221/1-B	39220	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Female		Blood	Existing	31.12.1995	Norway	Telemark	Skien	Gimsøy		59.183333	9.616667		Lifjeld, Jan T.	31.12.1995		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Lysis buffer, Queen's	Blood						Tissue			
141	urn:uuid:f14a2dba-e987-45f5-88e8-5a1abf248f03	urn:uuid:50f805b0-c35b-58cf-9184-f80a785d72ab	urn:uuid:f14a2dba-e987-45f5-88e8-5a1abf248f03	NHMO	BI	NHMO-BI-59723/1-P	59723	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Dahl, Knut	Female	Unknown	Study skin	Existing	1893-05-30	South Africa	Kwazulu-Natal							Dahl, Knut	1893-05-30		Asio capensis (Smith, A, 1834)	Strigiformes	Strigidae	Asio	capensis		species	(Smith, A, 1834)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13905265&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13905266&type=jpeg
142	urn:uuid:486499cc-a1f4-4927-b47a-4fb5f780d193	urn:uuid:51a75b0d-8414-5a4a-942b-63d85411f435	urn:uuid:486499cc-a1f4-4927-b47a-4fb5f780d193	NHMO	BI	NHMO-BI-62159/1-P	62159	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Unknown	Unknown	Mounted	Existing					Unknown					Unknown			Alectoris barbara (Bonnaterre, 1790)	Galliformes	Phasianidae	Alectoris	barbara		species	(Bonnaterre, 1790)	Dry	Mounted		J.I.J				Specimen			
143	urn:uuid:5cc58898-2f6a-4086-a431-627384e00518	urn:uuid:5217c130-7d34-5b44-919b-e1a3be6ee87f	urn:uuid:5cc58898-2f6a-4086-a431-627384e00518	NHMO	BI	NHMO-BI-42929/1-T | NHMO-BI-42929/2-P | NHMO-BI-42929/3-D	42929	Natural History Museum, University of Oslo, Norway	MaterialSample		Bjerke, Bjørn Aksel	Male	Adult	Tissue	Existing	2000-09	Norway	Østfold	Eidsberg	Sameia					Bjerke, Bjørn Aksel	2000-09		Acanthis cabaret (Müller, PLS, 1776)	Passeriformes	Fringillidae	Acanthis	cabaret		species	(Müller, PLS, 1776)	Dry | Buffer	MaterialSample | Study skin | gDNA					BON429-07	Tissue | Specimen | DNA			
144	urn:uuid:f7b75360-ef70-4b6a-880a-6d438ae9c2ec	urn:uuid:529bd535-536f-54ec-9cbf-23ef96f552b4	urn:uuid:f7b75360-ef70-4b6a-880a-6d438ae9c2ec	NHMO	BI	NHMO-BI-27873/1-B | NHMO-BI-27873/2-D | NHMO-BI-27873/3-S	27873	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	Male	Adult	Blood	Existing	04.05.2011	Portugal	Madeira		Santo da Serra		32.725611	-16.812778		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Johannessen, Lars Erik"	04.05.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96% |  | Formalin, w/PBS	Blood | gDNA | Sperm sample	 | Omega EZNA kit, plate	 | Johannessen, Lars Erik	 | 2011-06-21		BONMA286-11	Tissue | DNA			
145	urn:uuid:eded1889-37d1-45e3-9055-744da0580153	urn:uuid:52b7202f-48d6-5536-976e-7ddccb47a363	urn:uuid:eded1889-37d1-45e3-9055-744da0580153	NHMO	BI	NHMO-BI-45000/1-S	45000	Natural History Museum, University of Oslo, Norway	MaterialSample		Rodrigues, Pedro	Male	Adult	Sperm sample	Existing	13.06.2011	Portugal	Autonomous Region of Azores	São Miguel	Tronqueira (SMI_001)		37.769722	-25.197222		Marthinsen, Gunnhild	07.11.2018		Pyrrhula murina Godman, 1866	Passeriformes	Fringillidae	Pyrrhula	murina		species	Godman, 1866	Formalin, w/PBS	Sperm sample					BONMA503-13	Tissue			
146	urn:uuid:ee802ae8-3577-448c-98b1-da7059b4cbf0	urn:uuid:535f74bf-8d94-54c9-8081-096b1bec09ce	urn:uuid:ee802ae8-3577-448c-98b1-da7059b4cbf0	NHMO	BI	NHMO-BI-52782/1-P	52782	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		"Eeg; Rønning"	Male	Unknown	Mounted	Existing	14.10.1923	Norway	Oslo	Oslo	Østensjøvann, ø.Aker		59.89	10.827		Johannessen, Lars Erik	05.09.2022		Porphyrio poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus		species	(Latham, 1801)	Dry	Mounted						Specimen			
147	urn:uuid:401d131a-12ac-4480-b3d5-81503310d957	urn:uuid:53b3e85d-f41c-5499-85e2-f7d2bb2a2f0b	urn:uuid:401d131a-12ac-4480-b3d5-81503310d957	NHMO	BI	NHMO-BI-25174/1-B | NHMO-BI-25174/2-D | NHMO-BI-25174/3-S	25174	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	Male	Adult	Blood	Existing	26.04.2010	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, El Rosario		28.425833	-16.384722		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	26.04.2010		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% |  | Formalin	Blood | gDNA | Sperm sample	 | Omega EZNA kit, plate	 | Johannessen, Lars Erik	 | 2011-06-21		BONMA143-11	Tissue | DNA			
