basisOfRecord	catalogNumber	scientificName	institutionCode	collectionCode	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	identificationRemarks	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	habitat	associatedMedia	CreativeCommonsLicense	ArtObsID	relatedResourceID	coreid	musitModified	itemID	organismID	RelCatNo	RelCleanCatNo	rightsHolder	coremaBasisOfRecord	informationWithheld	preparations	materialSampleType	coremaModified	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	concentration	concentrationUnit	coremaRecordNumber	coremaRecordedBy	coremaEventDate	coremaCountry	coremaProvince	coremaCounty	coremaLocality	coremaElevation	coremaLat	coremaLong	coremaIdentificationRemarks	coremaTypeStatus	coremaIdentifiedBy	coremaDateIdentified	coremaScientificName	coremaGenus	coremaSpecificEpithet
Preserved specimen	260151	Entoloma sericatum	O	F	(Britzelm.) Sacc.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Bálint Dima, Tor Erik Brandrud		2016-05		AM-43-2015		Anne Molia	2015-08-11		Norway	Svalbard	Nordenskiöld Land	Bjørndalen	15.3319	78.2357	5			Rik reinrosehei med foruten reinrose: polarvier, harerug med mer.	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14321366&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:260151	urn:uuid:4bf73f7a-56a5-42dc-a028-6cebb3bae172	2017-02-02	urn:uuid:4bf73f7a-56a5-42dc-a028-6cebb3bae172	urn:uuid:2afc6bb1-1002-542d-a5c6-385ab7b0ca00	O-DFL-3401/2-D	3401	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:44		gDNA		CCDB			NOBAS2346-16			AM-43-2015	Anne Molia	2015-08-11	Norway	Svalbard	Nordenskiöld Land	Bjørndalen		78.235741	15.331937			Anne Molia	2015-08-11	Entoloma sp.	Entoloma	sp.
Preserved specimen	243949	Inocybe grammata	O	F	Quél. & Le Bret.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Inocybe			Perry Gunnar Larsen		2008-08-24				Perry Gunnar Larsen	2008-08-24		Norway	Trøndelag	Oppdal	Oppdal: Kongsvold Dovrefjell	9.6057	62.2972	1			Renrose og vierhei med dvergbjørk	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15467937&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/	11327923	urn:catalog:O:F:243949	urn:uuid:4110c918-c72b-49ba-af0c-2d8d0286a4ce	2022-09-06	urn:uuid:4110c918-c72b-49ba-af0c-2d8d0286a4ce	urn:uuid:2b0cff0b-c4ab-522a-a9e1-f4518fcd9f19	O-DFL-16030/2-D	16030	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-06-29T11:36:39	Dry	gDNA	CCDB	CCDB			NOBAS8127-21				Perry G. Larsen	2008-08-24	Norway	Trøndelag	Oppdal	Kongsvold Dovrefjell		62.297144	9.6056			Tor Erik Brandrud	2022	Inocybe rivularis Jacobsson & Vauras	Inocybe	rivularis
Preserved specimen	245273	Alnicola bohemica	O	F	(Velen.) Kühner	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Naucoria			Thomas Læssøe, Anne Molia		2012-08-04		AM-127-2012		Thomas Læssøe, Anne Molia	2012-08-04		Norway	Innlandet	Gjøvik	Gjøvik: Svennesvollene NR, v/ Biri Travbane	10.6214	60.9633	1			Frisk moderat kalkfattig fuktskogsmark /småbregnefuktskog/strandskog, delvis flommarksskog med lauvtrær; gråor og bjørk. Nitrofilt	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14322856&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:245273	urn:uuid:73639148-5f84-4c7f-b1f4-d5942ddfd4d6	2017-03-14	urn:uuid:73639148-5f84-4c7f-b1f4-d5942ddfd4d6	urn:uuid:2b4517d7-f4ce-56ce-84ae-dea797d1ef22	O-DFL-4598/2-D	4598	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:00		gDNA		CCDB						AM-127-2012	Thomas Læssøe, Anne Molia	2012-08-04	Norway	Oppland	Gjøvik	Svennesvollene NR, v/ Biri Travbane		60.963276	10.621422			Thomas Læssøe, Anne Molia	2012-08-04	Naucoria bohemica Velen.	Naucoria	bohemica
Preserved specimen	253919	Leccinum holopus	O	F	(Rostk.) Watling	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Leccinum			Jon-Otto Aarnæs		2006-09-28		EB 186/06		Jon-Otto Aarnæs	2006-09-28		Norway	Viken	Nesodden	Nesodden: Langøyene (Nordre)	10.7192	59.8733	71			Calcareous forest, with pine, spruce, birch	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324006&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:253919	urn:uuid:2cea41e6-bf17-47e3-a1d1-cef2ef41a336	2018-12-19	urn:uuid:2cea41e6-bf17-47e3-a1d1-cef2ef41a336	urn:uuid:2bc178dd-3f65-5d08-999f-b426b720869b	O-DFL-7003/2-D	7003	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:48		gDNA		CCDB			NOBAS4491-17			EB 186/06	Jon Otto Aarnæs	2006-09-28	Norway	Akershus	Nesodden	Langøyene (Nordre)		59.872862	10.718244			Jon Otto Aarnæs	2006-09-28	Leccinum niveum (Fr.) Rauschert	Leccinum	niveum
Preserved specimen	76178	Entoloma	O	F	(Fr. : Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Katri Kokkonen		2016-08-25		334/16		Katri Kokkonen	2016-08-25		Norway	Trøndelag	Snåsa	Snåsa: Finnsåsmarka	12.1972	64.2068		Ca. 77 m		Small meadow in forest	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324559&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:76178	urn:uuid:dfded0e6-2f9a-44f3-a0fb-a0afd9d42668	2017-11-21	urn:uuid:dfded0e6-2f9a-44f3-a0fb-a0afd9d42668	urn:uuid:2c20d4e1-e597-51a2-a5f6-6aacc932d9f8	O-DFL-7056/2-D	7056	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:49		gDNA		CCDB			NOBAS4544-17			334/16	Katri Kokkonen	2016-08-25	Norway	Nord-Trøndelag	Snåsa	Finnsåsmarka	77	64.2068	12.197183			Katri Kokkonen	2016-08-25	Entoloma sp.	Entoloma	sp.
Preserved specimen	253926	Hebeloma circinans	O	F	(Quél.) Sacc.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma			Henry J. Beker		2018-03		KB&EB 104/09		Tor Erik Brandrud	2009-09-05		Norway	Trøndelag	Steinkjer	Steinkjer: Skrattåsen	11.8081	64.1658	707			Calcareous spruce forest (NiN 2.1: T4-4)	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324013&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:253926	urn:uuid:bdbbb727-48d6-4328-a896-aec2a8e0d2e7	2018-03-14	urn:uuid:bdbbb727-48d6-4328-a896-aec2a8e0d2e7	urn:uuid:2c2cba48-4c87-5f7f-adbe-954cde27a9b6	O-DFL-7116/2-D	7116	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:49		gDNA		CCDB			NOBAS4604-17			KB&EB 104/09	Tor Erik Brandrud	2009-09-05	Norway	Nord-Trøndelag	Steinkjer	Skrattåsen		64.161503	11.797336	cf.		Tor Erik Brandrud	2009-09-05	Hebeloma sordescens Vesterh.	Hebeloma	sordescens
Preserved specimen	165717	Entoloma tiliae	O	F	Brandrud, O.V. Morozova, Dima, Bendiksen & Noordel.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma							EB 185/04		Egil Bendiksen	2004-09-25		Norway	Oslo fylke	Oslo	Oslo: Bygdøy, Reinsdyrlia (Naturtypelok. 030111959).	10.6728	59.9112	250	5-15 m		Boreonemoral, broad leaved deciduous forest with Corylus and Tilia	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15114705&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:165717	urn:uuid:875d8f33-0747-42e6-b9fb-36b0afa47f6d	2020-02-01	urn:uuid:875d8f33-0747-42e6-b9fb-36b0afa47f6d	urn:uuid:2c3f9352-35ce-5acc-b1c1-22dc212570cb	O-DFL-8583/2-D	8583	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:50	Dry	gDNA		CCDB			NOBAS5134-18			EB 185/04	Egil Bendiksen	2004-09-25	Norway	Oslo		Oslo: Bygdøy, Reinsdyrlia (Naturtypelok. 030111959).	5	59.911538	10.675447	cf.		Egil Bendiksen	2004-09-25	Entoloma rhodopolium (Fr.: Fr.) P.Kumm.	Entoloma	rhodopolium
Preserved specimen	74791	Conocybe anthracophila var. ovispora	O	F	Hauskn.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe			Anton Hausknecht		2010-12-02				Egil Bendiksen	2009-08-01		Norway	Viken	Lunner	Lunner: Øståsen, Storhaugen, Granmeismyra (Naturtypelok. 0533090).	10.7089	60.2982	71	480 m		Middle boreal zone, on old cow dung overgrown by Splachnum sp. in margin of oligotr. mire, with Betula and small Picea	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15469900&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:74791	urn:uuid:43384e19-9361-413b-af3a-19a5c5a2e647	2014-07-16	urn:uuid:43384e19-9361-413b-af3a-19a5c5a2e647	urn:uuid:2c4d5d51-2aca-52a1-b4d9-7b4ed774c1a0	O-DFL-16611/2-D	16611	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:04:37	Dry	gDNA	CCDB	CCDB			NOBAS8813-21				Egil Bendiksen	2009-08-01	Norway	Viken	Lunner	Øståsen, Storhaugen, Granmeismyra (Naturtypelok. 0533090).	480	60.297804	10.707934			Anton Hausknecht	2009-08-01	Conocybe anthracophila Kühner & Watling var. ovispora Hauskn.	Conocybe	anthracophila
Preserved specimen	256625	Cortinarius desertorum	O	F	(Velen.) G. Garnier	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Klaus Høiland		2022-03-07		35-19-KH		Klaus Høiland, Ingrid Vesterdal Tjessem	2019-08-26		Norway	Svalbard	Nordenskiöld Land	Nordenskiöld Land, Adventdalen	16.0126	78.1758	100			Moderate ridge of Dryas-Cassiope type	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115549&type=jpeg | https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115550&type=jpeg 	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:256625	urn:uuid:e0bc8579-820e-48b9-9383-2d04d348851f	2022-10-18	urn:uuid:e0bc8579-820e-48b9-9383-2d04d348851f	urn:uuid:2c5dd5f9-921e-5b29-923f-e8655a7384f2	O-DFL-15216/2-D	15216	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:04:34	Dry	gDNA		CCDB			NOBAS7849-19			35-19-KH	Klaus Høiland, Ingrid Vesterdal Tjessem	2019-08-26	Norway	Svalbard	Nordenskiöld Land	Adventdalen		78.17576	16.01256			Klaus Høiland	2019-08-26	Cortinarius subtorvus Lamoure	Cortinarius	subtorvus
Preserved specimen	253841	Pseudosperma rimosum	O	F	(Bull.) Matheny & Esteve-Rav.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Inocybe			Egil Bendiksen		2016-09-20		EB 156/16		Egil Bendiksen	2016-09-20		Norway	Viken	Asker	Asker: Øvre Drengsrudvann, W side	10.4043	59.8196	71			Low herb Picea forest, boreonemoral zone	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323922&type=jpeg | https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323923&type=jpeg 	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:253841	urn:uuid:185fb02a-af35-4847-b1fa-2bfe06207f27	2018-12-05	urn:uuid:185fb02a-af35-4847-b1fa-2bfe06207f27	urn:uuid:2c9fb170-e979-5100-8a18-30597a8b6aab	O-DFL-6716/2-D	6716	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:47		gDNA		CCDB			NOBAS4204-17			EB 156/16	Egil Bendiksen	2016-09-20	Norway	Akershus	Asker	Øvre Drengsrudvann, W side		59.819115	10.403374			Egil Bendiksen	2016-09-20	Inocybe rimosa (Bull.: Fr.) P.Kumm.	Inocybe	rimosa
Preserved specimen	178520	Entoloma	O	F	(Fr. : Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Bálint Dima		2019				Asbjørn Knutsen	2004-10-10		Norway	Vestland	Bømlo	Bømlo: Otterøya	5.4297	59.722	7			Naturbeitemark				urn:catalog:O:F:178520	urn:uuid:89965875-8ba8-4d4b-ac17-ed0ffb4570ac	2020-02-04	urn:uuid:89965875-8ba8-4d4b-ac17-ed0ffb4570ac	urn:uuid:2cb2f733-d33e-510c-813c-35bb72d6a46f	O-DFL-10641/2-D	10641	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:55	Dry	gDNA		CCDB			NOBAS6887-19				Asbjørn Knutsen	2004-10-10	Norway	Hordaland	Bømlo	Otterøya		59.720663	5.430156			John Bjarne Jordal	2004-10-10	Entoloma velenovskyi Noordel.	Entoloma	velenovskyi
Preserved specimen	242776	Hydnellum scabrosum	O	F	(Fr.) E. Larss., K.H. Larss. & Kõljalg	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon			Geir Gaarder				6400		Geir Gaarder	2011-09-02		Norway	Viken	Ringerike	Ultvedt SV	10.3132	60.1377	1			Kalkbarskog				urn:catalog:O:F:242776	urn:uuid:2a618af1-d641-4788-928d-12ecb92b0d62	2013-09-30	urn:uuid:2a618af1-d641-4788-928d-12ecb92b0d62	urn:uuid:2ce77fe3-d290-5144-95d7-573cd9552bde	O-DFL-6062/1-D	6062	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:09		gDNA	Qiagen kit, single tube	Mirré Virginia	2012-09-01							2011											2011	Sarcodon scabrosus (L.: Fr.) P.Karst.	Sarcodon	scabrosus
Preserved specimen	302816	Phellodon fuligineoalbus	O	F	(J.C. Schmidt : Fr.) R.E. Baird	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Bankera			Wenche Eli Johansen		2014-09-06				Wenche Eli Johansen	2014-09-06		Norway	Innlandet	Lesja	Lesja: Lesjaverk	8.5456	62.1873	5			Lavdominert sandfuruskog.	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324337&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/	2352585	urn:catalog:O:F:302816	urn:uuid:6abab213-d3ec-483f-9e30-d14db4341c35	2018-12-11	urn:uuid:6abab213-d3ec-483f-9e30-d14db4341c35	urn:uuid:2d022673-458c-5882-a180-484e7e44ef9c	O-DFL-6777/2-D	6777	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:47		gDNA		CCDB			NOBAS4265-17				Wenche Eli Johansen	2014-09-06	Norway	Oppland	Lesja	Lesjaverk		62.187221	8.545483			Wenche Eli Johansen	2014-09-06	Bankera fuligineoalba (J.C.Schmidt : Fr.) Coker & Beers ex Pouzar	Bankera	fuligineoalba
Preserved specimen	21289	Hymenogaster	O	F	Vittad.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hymenogaster			Ita Paz Conde		2013-09-28				Thomas Læssøe	2013-09-28		Norway	Vestfold og Telemark	Porsgrunn	Porsgrunn: Frierflauane	9.648	59.078				Kalkrik edelløvskog med hassel og lind				urn:catalog:O:F:21289	urn:uuid:5e1ab606-ab36-457c-92cf-d72de2ea591f	2017-03-31	urn:uuid:5e1ab606-ab36-457c-92cf-d72de2ea591f	urn:uuid:2d08181f-a3ab-56ce-b626-fc0b5a81b073	O-DFL-15010/1-D	15010	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:44	Buffer	gDNA	Qiagen Plant Mini Kit	Virginia Mirre	2014-04-09						Thomas Læssøe	2013-09-28	Norway	Telemark	Porsgrunn	Frierflauane		59.078	9.648			Ita Paz Conde	2013-09-28	Hymenogaster sp.	Hymenogaster	sp.
Preserved specimen	65691	Hydnellum versipelle	O	F	(Fr.) E. Larss., K.H. Larss. & Kõljalg	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Sarcodon			Even Woldstad Hanssen						Arve Græsdal	2002-08-24		Norway	Oslo fylke	Oslo	Østmarka, Øgården	10.8725	59.8676	71	200 m		Granskog				urn:catalog:O:F:65691	urn:uuid:7a0477f6-b4f2-40bc-adaa-87da4f39ca81	2022-10-14	urn:uuid:7a0477f6-b4f2-40bc-adaa-87da4f39ca81	urn:uuid:2d0f30f3-1fef-5382-9b19-b96b985d6d98	O-DFL-6068/1-D	6068	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:09		gDNA	Qiagen kit, single tube	Mirré Virginia	2012-09-01							2003											2003	Sarcodon versipellis (Fr.) Nikol.	Sarcodon	versipellis
Preserved specimen	256341	Hygrocybe	O	F	(Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe			Bálint Dima		2020-01-12		NMC2019-046		Steinar Weseth	2019-09-04		Norway	Vestland	Stord	Stord: Hovaneset	5.5385	59.8022	1			[Grassland]	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15116002&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:256341	urn:uuid:ac38c12c-1fad-478b-9f63-7b3f1dfbc37c	2020-01-21	urn:uuid:ac38c12c-1fad-478b-9f63-7b3f1dfbc37c	urn:uuid:2d2f6e1e-21a5-5d53-b6ff-8285db17facb	O-DFL-14523/2-D	14523	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:56	Dry	gDNA		CCDB			NOBAS7553-19			NMC2019-046	Steinar Weseth	2019-09-04	Norway	Hordaland	Stord	Hovaneset		59.802239	5.538486			Steinar Weseth	2019-09-04	Hygrocybe subpapillata Kühner	Hygrocybe	subpapillata
Preserved specimen	22491	Hebeloma mesophaeum	O	F	(Pers.) Quél.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma			Henry J. Beker		2017-02-10				Åse Borge	2015-07-08		Norway	Viken	Sigdal	Sigdal: Hagavollsetra	9.4857	60.1437	10			Torvmose, gml granskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14322954&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:22491	urn:uuid:91c2d64b-7931-4daa-bd1e-f5c51105ca67	2017-02-13	urn:uuid:91c2d64b-7931-4daa-bd1e-f5c51105ca67	urn:uuid:2d515303-5a29-528e-b9f4-1b0772e480d0	O-DFL-4637/2-D	4637	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:01		gDNA		CCDB							Åse Borge	2015-07-08	Norway	Buskerud	Sigdal	Hagavollsetra		60.143699	9.485691			Anne Molia	2015-07-08	Hebeloma sp.	Hebeloma	sp.
Preserved specimen	249977	Entoloma lampropus	O	F	(Fr. : Fr.) Hesler	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Bálint Dima, Tor Erik Brandrud		2016-01		JL 11-12		Jostein Lorås	2013-08-11		Norway	Nordland	Grane	Holmvassdalen NR	13.3164	65.3258				kalkgranskog (høystaude; på elvslette)	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13547726&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:249977	urn:uuid:9954fe77-39ba-4fed-93a1-4d9e5e17e4ce	2016-09-12	urn:uuid:9954fe77-39ba-4fed-93a1-4d9e5e17e4ce	urn:uuid:2d9dfc6d-6e7c-5a6c-9554-03a786685eb3	O-DFL-2004/2-D	2004	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:41		gDNA					NOBAS1599-15			JL 11-12	Jostein Lorås	2013-08-11	Norway	Nordland	Grane	Holmvassdalen NR		65.325789	13.316365			Øyvind Weholt	2013-08-11	Entoloma tjallingiorum Noordel.	Entoloma	tjallingiorum
Preserved specimen	303461	Cortinarius bibulus	O	F	Quél.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Arne Aronsen		2011-08-18				Arne Aronsen, Turid Nakling Kristiansen, Jytte Birk Kaas, Geir Flatabø, Per Marstad	2011-08-18		Norway	Troms og Finnmark	Sør-Varanger	Sør-Varanger: Solvoll	29.8124	69.424	7			Høgstaudesumpskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14322645&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:303461	urn:uuid:97713902-0edd-4188-b825-9c60f44f36db	2022-08-30	urn:uuid:97713902-0edd-4188-b825-9c60f44f36db	urn:uuid:2dab5242-ecfe-597a-b048-b818af85ad90	O-DFL-4429/2-D	4429	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:59		gDNA		CCDB							Arne Aronsen, Geir Flatabø, Jytte Birk Kaas, Per Marstad, Turid Nakling Kristiansen	2011-08-18	Norway	Finnmark	Sør-Varanger	Solvoll		69.423952	29.812221			Arne Aronsen	2011-08-18	Cortinarius lilacinopusillus P.D.Orton	Cortinarius	lilacinopusillus
Preserved specimen	360085	Russula aquosa	O	F	Leclair	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Anne-Mieke Verbeken, Jorinde Nuytinck		2018-12-13		109-2006		Perry Gunnar Larsen	2006-08-29		Norway	Møre og Romsdal	Ålesund	Hegrestian, Emblem, Ålesund kommune	6.4319	62.4384	71	Ca. 100 m		Gran	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324482&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:360085	urn:uuid:86e14138-2f11-41eb-92fe-c3218c36935d	2022-09-06	urn:uuid:86e14138-2f11-41eb-92fe-c3218c36935d	urn:uuid:2deac23b-96eb-5be1-90c1-ba6d63061fae	O-DFL-6799/2-D	6799	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:47		gDNA		CCDB			NOBAS4287-17			109-2006	Perry G. Larsen	2006-08-29	Norway	Møre og Romsdal	Ålesund	Hegrestian, Emblem	100	62.437331	6.433051			Perry Larsen	2006-08-29	Russula fennoscandica Ruots. & Vauras ined.	Russula	fennoscandica
Preserved specimen	243296	Cyclocybe erebia	O	F	(Fr.) Vizzini & Matheny	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe			Reidun Braathen, Even Woldstad Hanssen, Inger Kristoffersen		2011-06-26				Reidun Braathen, Even Woldstad Hanssen, Inger Kristoffersen	2011-06-26		Norway	Innlandet	Vestre Slidre	Vestre Slidre: Røn	9.0562	61.0428	1			Høgstaudedrag, kalkrikt	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13532660&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/	11413690	urn:catalog:O:F:243296	urn:uuid:43208a0b-a9b9-4319-9ed2-226c7d1bba8c	2022-10-12	urn:uuid:43208a0b-a9b9-4319-9ed2-226c7d1bba8c	urn:uuid:2e56e368-fe7e-5917-86a0-9cce6b11e9e2	O-DFL-1388/2-D	1388	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:39		gDNA					NOBAS1158-15				Reidun Braathen, Even W. Hanssen, Inger Kristoffersen	2011-06-26	Norway	Oppland	Vestre Slidre	Vestre Slidre: Røn		61.042747	9.056097			Reidun Braathen, Even W. Hanssen, Inger Kristoffersen	2011-06-26	Agrocybe erebia (Fr.: Fr.) Singer	Agrocybe	erebia
Preserved specimen	169415	Entoloma indutoides var. griseorubidum	O	F	(Noordel.) Noordel.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Egil Bendiksen	cf.	1984-09-26		EB 362/84		Egil Bendiksen	1984-09-26		Norway	Oslo fylke	Oslo	Oslo: Grorud, Frankrig N	10.8853	59.9671	71	Ca. 235 m		Boreonemoral/southern boreal, mixed forest	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14322405&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:169415	urn:uuid:e82ac0e3-9723-410d-91c8-0d938b893be8	2016-09-13	urn:uuid:e82ac0e3-9723-410d-91c8-0d938b893be8	urn:uuid:2e772a12-afe5-54dd-9660-e474b03a76d3	O-DFL-3115/2-D	3115	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:45		gDNA		CCDB			NOBAS2596-16			EB 362/84	Egil Bendiksen	1984-09-26	Norway	Oslo	Oslo	Oslo: Grorud, Frankrig N	235	59.966174	10.886002	cf.		Egil Bendiksen	1984-09-26	Entoloma indutoides (P.D.Orton) Noordel. var. griseorubidum (Noordel.) Noordel.	Entoloma	indutoides
Preserved specimen	260179	Entoloma sericeum	O	F	Quél.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma			Bálint Dima, Tor Erik Brandrud		2016-05				Anne Molia	2015-08-12		Norway	Svalbard	Nordenskiöld Land	Revneset	15.631	78.2715				Rik li med rynkevier, polarvier, reinrose med mer. Fuktsig innimellom	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14321389&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:260179	urn:uuid:bdcbe8e1-fbf9-4ab9-bd7d-0bfac7e714ba	2017-02-02	urn:uuid:bdcbe8e1-fbf9-4ab9-bd7d-0bfac7e714ba	urn:uuid:2e8ae889-5f8c-549a-81d1-74f3ce085b91	O-DFL-3421/2-D	3421	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:45		gDNA		CCDB			NOBAS2366-16				Anne Molia	2015-08-12	Norway	Svalbard	Nordenskiöld Land	Revneset		78.2715	15.631			Anne Molia	2015-08-12	Entoloma sp.	Entoloma	sp.
