Order_orig.	Familiy_orig.	Orig._comb.		Described_as	Name	Author	Year	Page	Bar code	Type kind	Are we sure it is a published name?	Conserved as	Where	Associated preparation numbers	Labeled as type	Label(s)	Specimens	Males	Females	Larvae	Pupae	Original description checked?	Author(s)	Year	Title	Reference	Editors	Place	Periodicle	Publisher	Volume	Pages	Expedition	Country	Years	Province/Region/State	District/County/Municip.	This is type locality	Order.	Family	Genus	Combination	Author and year	Status	Reference to curr. taxonomy	Reference to publication of lectotype	Date	Remarks	Recorder	Locality	Country	Invalid details	Current combination established by	Record_ID	Search by bar code	Copy
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001874		FALSE	Pinned	Pinned type collection		FALSE	"Kongsvinger Münster27/8.22", "74 26"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10052 ZM.Oslo"	1	0	0	0	0	FALSE														Hedmark	Kongsvinger		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsvinger	Norway			887		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001872		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "74 45"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10060 ZM.Oslo"	1	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			886		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001867		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "74 17"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10048 a ZM.Oslo"	1	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			885		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001876		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "Mandal,omg. VIII.23, Munster.", "Mandal,omg. VIII.23, Munster.", "Mandal,omg. VIII.23, Munster.", "74 34"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10054 ZM.Oslo"	4	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			884		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001871		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "74 19"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10048 c ZM.Oslo"	1	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			883		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001869		FALSE	Pinned	Pinned type collection		FALSE	"74 15"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10047 ZM.Oslo"	5	0	0	0	0	FALSE																	Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan					882		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001873		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "74 20"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10048 d ZM.Oslo"	1	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			881		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001875		FALSE	Pinned	Pinned type collection		FALSE	"Kongsvinger Münster 27/8.22", "74 25"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10051 ZM.Oslo"	1	0	0	0	0	FALSE														Hedmark	Kongsvinger		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsvinger	Norway			880		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001878		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "74 47"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10062 ZM.Oslo"	1	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			879		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001868		FALSE	Pinned	Pinned type collection		FALSE	"Mandal,omg. VIII.23, Munster.", "74 16"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10048 ZM.Oslo"	1	0	0	0	0	FALSE														Vest-Agder	Mandal		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Mandal	Norway			878		0
