JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
F23772	F	23772		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Fulehuk - Bast�y		Fulehuk - Bast�y	38		25.07.1953	25.07.1953	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dyrene i F23770 (Pagurus bernhardus), F23771(Pagurus cuanensis) og F23772 (Anapagurus chiroachanthus) var i samme glass f�r matr. ble bestemt av P.McLaughlin og reg. med reg.nr.. Originaletikett i F23770. Dt.: P.McLaughlin 1973-1994.	
F23788	F	23788		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Fulehuk - Svenner		Fulehuk - Sven�r	46		27.07.1953	27.07.1953	-	?	?	=	?								Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dyrene i F23786 (Pagurus bernhardus), F23787 (Pagurus cuanensis) og F23788 (Anapagurus chiroacanthus) var i samme glass f�r matr. ble bestemt av P.McLaughlin og reg. med reg.nr.. Originaletikett i F23786. Dt.: P.McLaughlin 1973-1994.	
F22878	F	22878		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Fulehuk - Svenner		Fulehuk - Sven�r	36		25.07.1953	25.07.1953	-	?	?	=	1							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		"Dt.: P.McLaughlin 1973-1994. "	
F23832	F	23832		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Fulehuk - Svenner		Fulehuk - Sven�r	32		24.07.1953	24.07.1953	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F22884	F	22884		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Gr�nningen - Ryvingen		Gr�ningen - Ryvingen	6		17.07.1951	17.07.1951	-	?	?	=	1								Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23821	F	23821		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Gr�nningen - Ryvingen		Gr�ningen - Ryvingen	15		18.07.1951	18.07.1951	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23849	F	23849		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Gr�nningen - Ryvingen		Gr�ningen - Ryvingen	15		18.07.1951	18.07.1951	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23896	F	23896		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Gr�nningen - Ryvingen		Gr�ningen - Ryvingen	77		27.07.1951	27.07.1951	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.	
F23206	F	23206		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Hausen		Hausen, Larkollen		3	21.08.1952	21.08.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, Patsy			
F23207	F	23207		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Hoft�ya		Hoft�, Hvasser		2	19.08.1952	19.08.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, Patsy			
