species	number	order	family	collDate	country
Munida sarsi	80		Galatheidae	18.09.1953,?,?,09.01.1953,09.01.1953,?,30.01.1953,13.11.1953,01.08.1910,?,01.01.1910,03.01.1953,?,08.02.1952,01.11.1952,29.04.1950,23.07.1952,21.07.1952,15.09.1953,?,26.11.1951,17.04.1953,17.04.1953,05.07.1937,?,?,?,?,?,?,17.09.1953,16.09.1953,16.09.1953,16.09.1953,13.04.1934,?,07.04.1928,?,?,?,?,?,?,###############################################################################################################################################################################################################################################################,?,10.04.1953,27.10.1953,28.10.1953,05.12.1952,14.08.1952,###############################################################################################################################################################################################################################################################,01.07.1922,06.05.1930,14.08.1952,06.03.1953,11.12.1953,11.12.1953,06.03.1953,25.08.1951,14.11.1952,02.08.1952,02.08.1920,04.07.1951,10.03.1952,31.05.1952,02.08.1952,02.08.1920,?,11.04.1930,21.03.1952,01.01.1908,25.01.1952,###############################################################################################################################################################################################################################################################,?,###############################################################################################################################################################################################################################################################,?,?,?,?,13.06.1979	Aker�y,Bergen,Bergen,Bev�ykollen,Bev�ykollen,Bongnestraumen,Breiangen,Digeruddypet,Dr�bak,Dr�bak,Dr�bak & Stavanger,Dr�bakbanken,Espev�r,Filtvet,Gr��yleira, Dr�bak,Gyren,Gyren,Gyren,Gyren,Hardanger & Oslofjorden,H��ya,Jel�ya,Jel�ya,Kabelv�g - Skrova,Kleven,Komagfjord & �ksfjord,Kopervik,Kopervik,Kvits�y,Kvits�y,Lille H�ka,Lille H�ka,Mefjordb�en, Hvaler,Mefjordb�en, Hvaler,Midtmeiet,Mosterhamn,Nevlunghavn,Norden,Norden,Norden,Norden,Norden,Norden,Norskehavet,Norskehavet & Barentshavet,Nygrunnen, Filtvet,Oslofjorden,Oslofjorden,Rammeb�en,Skiphellebukta,Sognefjorden,Stavanger,Steilene,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Stormeberget,Storskj�r,Storskj�r,Sundreia, Trondheimsfjorden,S�treosen,Teigenhausen,Tj�me,Tofteholmen, Breiangen,Trondheimsfjorden,Trondheimsfjorden,Trondheimsfjorden,Utne,Utne,Utne,Utne,Vistenfjorden
Munida tenuimana	14		Galatheidae	01.07.1916,?,07.04.1930,16.06.1934,27.06.1934,11.07.1930,12.06.1930,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,01.08.1962,?,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################	Bergen,Bergen,Norden,Salhusfjorden,Salhusfjorden,Salhusfjorden,Salhusfjorden,Sognefjorden,Sognefjorden,Storskj�r,Utne,Utne,Vestfjorden,Vestfjorden
Mysidopsis gibbosa	7		Mysidae	?,?,?,?,?,?,?	La Spezia,Napoli,Norge,Norskehavet & Barentshavet & Gr�nlandshavet,Oslofjorden,Oslofjorden,Syracuse & Goletta
Mysis litoralis	3		Mysidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?	Adventbukten,Adventbukten,Varangerfjorden
Nebalia bipes	13		"Nebaliidae "	?,?,?,?,?,?,?,?,?,?,?,?,###############################################################################################################################################################################################################################################################	Bergen & Gr�t�ya,B�rgin,Gr�nland,Gr�nland,Hitra & Fr�ya,Kristiansund,Lofoten,Lofoten & Vads�,Norden,Norge,Norge,Norge,Saltstraumen
Mysis mixta	15		Mysidae	?,?,?,?,?,?,?,?,?,?,?,?,?,?,?	Hvaler,Kval�y,Lofoten,Nordland,Norge,Norge,Norge,Norge,Novaja Zemlja,Saltenfjorden,Svelvik,Svelvik,Svelvik,Troms�,Vads�
Nymphon megalops	3		Nymphonidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################	Gr�nlandshavet,Norskehavet,Norskehavet
Odius carinatus	6		Acanthonotozomatidae	?,?,###############################################################################################################################################################################################################################################################,?,30.07.1900,?	Finnmark,Karm�y,Nordkapp,Norsk�yene,Nunavut,�lesund
Oncaea notopus	3	Poecilostomatoida	Oncaeidae	?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################	Anonym,Nordishavet,Nordishavet
Onisimus edwardsi	20		Lysianassidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,?,?,18.07.1930,###############################################################################################################################################################################################################################################################,28.07.1929,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,?,?,17.07.1902,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,01.08.1900	Baffinbukta,Cape Sabine,Egedesminde,Finnmark,Gr�nland,Gr�nland,Herchelhus,Jan Mayen,Landingsdalen,Norden,Norskehavet,Norskehavet,Norsk�yene,Norsk�yene,Norsk�yene,North Devon,Nunavut,Nunavut,Selhundsbukta,Stordalen
Orchomenella pinguis	5		Lysianassidae	###############################################################################################################################################################################################################################################################,?,?,?,###############################################################################################################################################################################################################################################################	Andenes,Beian,Farsund,Finnmark,Norge
Peltogasterella sulcata	6	Rhizocephala	Peltogastridae	17.07.1905,24.07.1953,21.11.1952,02.06.1911,14.07.1950,15.07.1950	Hvasser,Sand�sund,Sauetogrunnen,Teineb�en,Torungen - Homborsund,Torungen - Homborsund
Polyartemia forcipata	12	Anostraca	Polyartemidae	?,?,12.07.1969,?,?,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,?,?	Hammerfest,Hasv�g,Komagdalen,Norden,Norden,Norden,Repv�g,Store Tams�ya,S�r-Varanger,Vads�,Vagge, Finnmark,Vard�
Pontogeneia inermis	8		Pontogeneiidae	?,?,?,?,?,28.07.1929,17.07.1902,###############################################################################################################################################################################################################################################################	Gr�nland,Gr�nland,Gr�nland,Gr�nland,Karm�y,Landingsdalen,North Devon,Upernivik
Pontoporeia femorata	16		Haustoriidae	###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,?,02.08.1901,05.08.1929,24.07.1930,?,02.08.1930,02.08.1930,01.08.1930,?,###############################################################################################################################################################################################################################################################,?,?,?	Adventbukten,Adventbukten,Finnmark,Gr�nland,G�sefjord,Kapp Humboldt, Ymer�ya,Kapp Stosch, Claveringfjorden,Karm�y,Mackenziebukta,Mackenziebukta,Mackenziebukta,Norden,Rice Strait,Rice Strait,Selhundsbukta,Simrishamn
Praunus inermis	44		Mysidae	04.10.1968,###############################################################################################################################################################################################################################################################,31.07.1968,29.08.1968,?,?,?,13.09.1968,14.06.1968,05.07.1904,24.10.1968,15.08.1968,19.09.1968,17.08.1905,24.09.1968,?,21.08.1968,###############################################################################################################################################################################################################################################################,22.08.1968,08.11.1958,11.11.1958,03.11.1958,30.11.1958,14.09.1957,04.11.1958,?,?,?,?,?,?,21.08.1968,31.07.1968,15.08.1968,10.10.1968,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,24.10.1968,01.05.1902,04.10.1968,?,01.08.1916,28.08.1968	Aker�y,Beian,Djupalen,Drasund,Farsund,Foldenfjorden,Gjesv�r,Grindvik,Grindvika,Hilles�y,H�nsetangen,H��ya,Kalveskj�r,Kibygrunnen,Knarrvika,Kristiansund,Langeb�t,Larvik,Nestangen, Jel�ya,Norden,Norden,Norden,Norden,Norden,Norden,Norge,Norge,Norge,Norskehavet & Barentshavet & Gr�nlandshavet,Oslofjorden,Oslofjorden,Presteskj�r,Raudskj�ra,Rauholmene,Revholmen,Risavika, Tananger,Risavika, Tananger,Risev�gen,Roppestadholmen,Troms�,Ula,Vads�,Vall� & Hus� & Gjers�,�sg�rdstrand
Praunus neglectus	9		Mysidae	?,13.09.1968,?,?,?,?,?,24.10.1968,30.07.1982	Foldenfjorden,Grindvik,Norge,Oslofjorden,Oslofjorden,Oslofjorden,Oslofjorden,Roppestadholmen,Viernbukta
Protomedeia fasciata	10		Photidae	?,?,02.08.1901,###############################################################################################################################################################################################################################################################,24.07.1934,?,?,?,?,?	Finnmark,Gr�nland,G�sefjord,Holsteinborg havn,M�kkalassene, Gr��yleira,Norden,Norge,Norge,Norsk�yene,Oslofjorden
Sabinea sarsii	11		Crangonidae	?,?,?,?,?,?,?,07.07.1937,?,06.07.1937,13.06.1979	Evje, Manger,Foldenfjorden,Koppervik,Kristiansand,Kristiansund,Lofoten,Lofoten,Molld�ra, Lofoten,Mosterhamn,Skrova-Litlmolla,Vistenfjorden
Ornatoscalpellum stroemii	23	Thoracica	Scalpellidae	18.09.1953,27.07.1910,?,10.09.1967,?,25.04.1914,21.07.1952,23.07.1952,20.06.1961,16.09.1953,?,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,?,21.10.1949,?,###############################################################################################################################################################################################################################################################,?,23.08.1962,###############################################################################################################################################################################################################################################################	Aker�y,Aspond,Beian,Brettingsnes,Espev�r,Furuholmen,Gyren,Gyren,Hamb�ra,Lille H�ka,Lyngholmen,Norden,Norskehavet,Norskehavet,Porsangerfjorden,Porsangerfjorden,Porsangerfjorden,Rutletangen - Solsvika,R�dberget,Tanafjorden,Tjernagel,Tronstadgrunnen,Vestfjorden
Schistomysis ornata	9		Mysidae	?,26.05.1981,?,?,?,?,?,?,?	Holmestrand,Kval�ya,Mosterhamn,Norge,Norge,Norge,Oslofjorden,Sunde,Sunde
Stegocephaloides christianiensis	7		Stegocephalidae	?,?,?,?,###############################################################################################################################################################################################################################################################,?,?	Farsund,Oslofjorden,Oslofjorden,Ris�r,R�dberget,Sunde,Utne
Tmetonyx similis	4		Lysianassidae	20.08.1931,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,08.05.1962	Dusenfjorden,Norge,Porsangerfjorden,Stormeberget
Tryphosites longipes	8		Lysianassidae	?,?,?,?,?,?,?,?	Finnmark,Karm�y & Oslofjorden,Kristiansand,Norden,Norge,Oslofjorden,Ris�r,Ris�r
Unciola leucopis	8		Corophiidae	?,19.07.1930,?,?,02.08.1930,?,?,?	Gr�nland,Herchelhus,Karahavet,Karahavet,Mackenziebukta,Norden,Vads�,Varangerfjorden
Weyprechtia pinguis	8		Gammaridae	22.07.1932,17.07.1930,17.07.1930,18.07.1930,22.07.1932,05.08.1929,08.08.1931,28.07.1929	Germaniahavn, Sabine�ya,Herchelhus,Herchelhus,Herchelhus,Herchelhus,Kapp Humboldt, Ymer�ya,Kapp Mary,Landingsdalen
